"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HHDEBT","TOT","PC_NDI","A","1995",192.7977,
"DNK","HHDEBT","TOT","PC_NDI","A","1996",200.1547,
"DNK","HHDEBT","TOT","PC_NDI","A","1997",213.491,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",221.4437,
"DNK","HHDEBT","TOT","PC_NDI","A","1999",225.5847,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",305.774,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",293.0566,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",290.053,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",288.601,
"DNK","HHDEBT","TOT","PC_NDI","A","2018",281.6941,
